"","text","author_id","possibly_sensitive","created_at"
"28","@full2001 @EnvAgencySW @RachelBurdenEA Yes constant pumping at WSPS since Friday.","2512588315",FALSE,"2021-01-05T19:46:46.000Z"
"29","@denny_robert @HawfordFarm @AfonyddCymru @theriverstrust @TheRiverSevern @DaveThroupEA @EnvAgencyMids @NatResWales @ChrisBaingerEA @SevernUnlocked @NaturalEngland @AnglingTrust We can be flexible @denny_robert <U+0001F600>","140512390",FALSE,"2021-01-05T19:46:16.000Z"
"30","RT @ncedigital: Innovative thinking | Helping endangered fish to 'climb' past the #Severn’s weirs is at the heart of a major #engineering p…","140512390",FALSE,"2021-01-05T19:45:17.000Z"
"31","RT @MATatBucks: Well done to @WarrenWhyteUK for raising the issue of the @EnvAgency late warnings of the recent floods in Buckingham at thi…","812261343839604736",FALSE,"2021-01-05T19:27:56.000Z"
"32","RT @MATatBucks: Well done to @WarrenWhyteUK for raising the issue of the @EnvAgency late warnings of the recent floods in Buckingham at thi…","48378139",FALSE,"2021-01-05T19:25:00.000Z"
"33","Well done to @WarrenWhyteUK for raising the issue of the @EnvAgency late warnings of the recent floods in Buckingham at this morning's @BucksCouncil Cabinet. We need to have a clear explanation for what went wrong.","301024617",FALSE,"2021-01-05T19:24:17.000Z"
"34","@EnvAgency is there a refund option on this years angling license","326928931",FALSE,"2021-01-05T19:18:33.000Z"
"35","@SoliLandscape @asda @AsdaServiceTeam @B37News @LoveSolihull @SolihullUpdates The local volunteers do a fantastic job around Solihull and Birmingham, but it's the same at Cole Hall Lane, Birmingham. I tweeted @BrumLeader , emailed @EnvAgencyMids and heard nothing back about the state of the rivers, fallen trees and flooding. Nothing gets done. https://t.co/DoyqlkNao1","1622756150",FALSE,"2021-01-05T19:10:10.000Z"
"36","RT @oliver_hartland: Back in #Alcester today with Daz, Rich, Adam and Brooke removing a tree off of Gunnings Bridge #FloodRisk #Flood @EnvA…","806475606582034432",FALSE,"2021-01-05T19:01:16.000Z"
"37","RT @EnvAgencySW: The increased pumping at Currymoor has reduced the stored water from 93% of capacity down to less than 40% today. All the…","160510810",FALSE,"2021-01-05T18:38:17.000Z"
"38","@HawfordFarm @severnrivers @AfonyddCymru @theriverstrust @TheRiverSevern @DaveThroupEA @EnvAgencyMids @NatResWales @ChrisBaingerEA @SevernUnlocked @NaturalEngland @AnglingTrust Was looking good until I got to, “Friendly and approachable” <U+0001F923><U+0001F602><U+0001F937><U+0001F3FC><U+200D><U+2642><U+FE0F>","331042577",FALSE,"2021-01-05T18:36:16.000Z"
"39","RT @suepritch: From @TonyJuniper @NaturalEngland  @EmmaHowardBoyd @EnvAgency and William Worsley @ForestryEngland &gt; We have no choice – thi…","584859744",FALSE,"2021-01-05T18:31:24.000Z"
"40","@severnrivers @AfonyddCymru @theriverstrust @TheRiverSevern @DaveThroupEA @EnvAgencyMids @NatResWales @ChrisBaingerEA @SevernUnlocked @NaturalEngland @AnglingTrust @denny_robert retirement interlude","3026489962",FALSE,"2021-01-05T18:18:29.000Z"
"41","@charlie_deacon @Srsivanesan @RBKingston @seethingabout @renton_phil @EnvAgencySE You can ask 4 update against your NIRS number via their website. Find out what category it was out in. If you are concerned about biodiversity issues  then you have to make that a separate complaint which is a pain but that is the only way it gets through","961901729473351680",FALSE,"2021-01-05T18:14:53.000Z"
"42","@charlie_deacon @alison_fure @RBKingston @seethingabout @renton_phil @EnvAgencySE Water pollution is often evidenced by the changes to invertebrate populations, given that @EnvAgency have supports reports of polluted waters based on RMI surveys etc. Maybe they would be willing to investigate water pollution impacts on this site using Biodiversity indicators<U+0001F91E>","771241275785752577",FALSE,"2021-01-05T18:12:09.000Z"
"43","RT @alison_fure: @charlie_deacon @Srsivanesan @RBKingston @seethingabout @renton_phil @EnvAgencySE 16.10.20 is last recorded weedspray of t…","1254042869175914497",FALSE,"2021-01-05T18:03:09.000Z"
"44","@charlie_deacon @Srsivanesan @RBKingston @seethingabout @renton_phil @EnvAgencySE 16.10.20 is last recorded weedspray of the site (according to my records) but glyphosate only works in the growing season, so that is the last viable date for application IMO","961901729473351680",FALSE,"2021-01-05T17:59:23.000Z"
"45","RT @WildStoke: Here's just a small selection of some of the birds being helped by the habitat improvement work being carried out by #Staffs…","799388188695531520",FALSE,"2021-01-05T17:59:10.000Z"
"46","RT @EnvAgencyMids: There will be a release of water from Ladybower Reservoir #Derbyshire tomorrow morning (Wednesday) from 9am to increase…","1057342818",FALSE,"2021-01-05T17:48:02.000Z"
"47","RT @EnvAgencyMids: There will be a release of water from Ladybower Reservoir #Derbyshire tomorrow morning (Wednesday) from 9am to increase…","1570237550",FALSE,"2021-01-05T17:47:23.000Z"
"48","RT @EnvAgencySW: The increased pumping at Currymoor has reduced the stored water from 93% of capacity down to less than 40% today. All the…","1057342818",FALSE,"2021-01-05T17:46:24.000Z"
"49","@JamesAbbott2013 @michaelst1001 @EnvAgency Always minimise waste and max recycling. Dosnt mean it isnt needed nationally- there are already very high dependency HGV use in the UK for all business - I am not pro incinerator here but likewise the devil is always in the detail","2797912746",FALSE,"2021-01-05T17:46:20.000Z"
"50","RT @EnvAgencyMids: There will be a release of water from Ladybower Reservoir #Derbyshire tomorrow morning (Wednesday) from 9am to increase…","2717293939",FALSE,"2021-01-05T17:42:31.000Z"
"51","RT @moorsforfuture: A look back on the work achieved in 2019/20 by working in #partnership: 
https://t.co/G0LbUFBoRT
@peakdistrict @Natures…","729005608263921664",FALSE,"2021-01-05T17:39:19.000Z"
"52","@charlie_deacon @alison_fure @RBKingston @seethingabout @renton_phil @EnvAgencySE Thanks Charlie. Hopefully @EnvAgency will give less permission for methods which don't impact the food sources for birds and bays that try to return to the site","771241275785752577",FALSE,"2021-01-05T17:34:35.000Z"
"53","RT @MariaHerlihyEA: Temporary Barrier now removed from#South Hinksey by field teams today,cleaned and put away for future use.Well done to…","1067868092859121664",FALSE,"2021-01-05T17:27:24.000Z"
"54","RT @EnvAgencySW: The increased pumping at Currymoor has reduced the stored water from 93% of capacity down to less than 40% today. All the…","757230061196017665",FALSE,"2021-01-05T17:25:44.000Z"
"55","@ecoevoenviro @michaelst1001 @EnvAgency The heat would be consumed internally in the plant - we already know that. Better option to to minimise waste and increase recycling, AD etc. The county council has, since the original consent, resolved that the plant is not needed to treat waste in Essex. 400 HGV movements a day","1619874846",FALSE,"2021-01-05T17:22:35.000Z"
"56","RT @EnvAgencySW: The increased pumping at Currymoor has reduced the stored water from 93% of capacity down to less than 40% today. All the…","2512588315",FALSE,"2021-01-05T17:19:41.000Z"
"57","RT @EnvAgencySW: The increased pumping at Currymoor has reduced the stored water from 93% of capacity down to less than 40% today. All the…","4419720455",FALSE,"2021-01-05T17:15:51.000Z"
"58","RT @EnvAgencyYNE: You can watch the large jack up barge leaving the River Hull today after being used as part of a £62.4m project to improv…","766553708",FALSE,"2021-01-05T17:14:28.000Z"
"59","RT @MariaHerlihyEA: Temporary Barrier now removed from#South Hinksey by field teams today,cleaned and put away for future use.Well done to…","556758601",FALSE,"2021-01-05T17:13:29.000Z"
"60","RT @EnvAgencySW: The increased pumping at Currymoor has reduced the stored water from 93% of capacity down to less than 40% today. All the…","20927729",FALSE,"2021-01-05T17:12:33.000Z"
"61","@severnrivers @NE_WestMids @AfonyddCymru @theriverstrust @TheRiverSevern @DaveThroupEA @EnvAgencyMids @NatResWales @ChrisBaingerEA @SevernUnlocked @NaturalEngland @AnglingTrust A lovely spot on the River Teme. Dippers and kingfishers often seen here.","947876730244648960",FALSE,"2021-01-05T17:10:05.000Z"
"62","RT @EnvAgencyMids: There will be a release of water from Ladybower Reservoir #Derbyshire tomorrow morning (Wednesday) from 9am to increase…","912788415925690368",FALSE,"2021-01-05T17:07:03.000Z"
"63","RT @EnvAgencySW: The increased pumping at Currymoor has reduced the stored water from 93% of capacity down to less than 40% today. All the…","894652399335481345",FALSE,"2021-01-05T17:06:38.000Z"
"64","@RussellB1ggs @EnvAgencyAnglia I don’t have to ask where this is or who the owners are <U+0001F92C><U+0001F92C>","19457669",FALSE,"2021-01-05T17:03:05.000Z"
"65","RT @ncedigital: Innovative thinking | Helping endangered fish to 'climb' past the #Severn’s weirs is at the heart of a major #engineering p…","466636025",FALSE,"2021-01-05T17:02:19.000Z"
"66","@misscharlesyork @YorkList @EnvAgencyYNE @theyorkmix We were going to start this month! It'll be March now with a new series of #NatureNearby walks and rides. Will keep you posted <U+0001F60A>","1855000748",FALSE,"2021-01-05T16:58:52.000Z"
"67","RT @ICEYorksHumber: Find out more about the Hull River Defences and Humber Hull Frontages in this webinar coming on January 18!

@BAMNuttal…","236972383",FALSE,"2021-01-05T16:58:38.000Z"
"68","RT @EnvAgencyYNE: You can watch the large jack up barge leaving the River Hull today after being used as part of a £62.4m project to improv…","236972383",FALSE,"2021-01-05T16:58:02.000Z"
